Data Set	yellow_N	yellow_mean	yellow_std	green_N	green_mean	green_std	blue_N	blue_mean	blue_std
Ayama	19	574	9.6	19	506	10	19	474	6.7
Schefrin	50	577	4.6	50	509	11.9	50	480	7
Nerger	4	575	1.7	4	510	9	4	471	6.6
Jordan and Mollon	97			97	512	13.3	97		
Volbrecht	100			100	522	13.5	100		
Pridmore	7	578	4.8	7	517	9.1	7	479	11.6
Webster I	51	576	2	51	544	16	51	477	4.2
Kuehni	40			40	505	15.6	76	        	        
Webster IIA	175	580	1.4	175	540	13.3	175	479	2.3
Webster IIB	105	576	1.7	105	539	20.8	105	472	7.4
